Proxy,cifar10_KT,cifar10_SPR,cifar10_Top1_ACC,cifar10_STD,cifar100_KT,cifar100_SPR,cifar100_Top1_ACC,cifar100_STD,ImageNet16120_KT,ImageNet16120_SPR,ImageNet16120_Top1_ACC,ImageNet16120_STD,Avg Runtime (ms),Avg Memory (GB),Max Memory (GB)
FLOPs,0.575,0.753,93.429,0.094,0.550,0.725,70.580,0.049,0.517,0.692,41.952,0.911,0.0,0.00,0.00
params,0.578,0.754,93.429,0.094,0.552,0.726,70.580,0.049,0.520,0.692,41.952,0.911,0.0,0.00,0.00
expressivity_az,0.575,0.765,92.283,0.624,0.571,0.761,68.011,1.605,0.511,0.700,40.052,1.329,0.0,0.00,0.00
progressivity_az,0.517,0.686,92.383,0.517,0.508,0.680,67.928,1.143,0.488,0.656,40.674,1.086,0.0,0.00,0.00
trainability_az,0.330,0.481,92.148,0.555,0.336,0.489,68.113,1.070,0.392,0.555,41.422,1.838,0.0,0.00,0.00
zico,0.585,0.780,93.429,0.094,0.583,0.776,70.580,0.049,0.578,0.771,41.952,0.911,1056.7,0.46,0.82
zen,0.281,0.365,88.942,1.098,0.267,0.340,63.583,3.531,0.287,0.387,35.587,3.348,28.3,0.19,0.48
grad_norm,0.380,0.515,91.340,0.281,0.374,0.505,64.791,0.274,0.328,0.445,31.267,3.320,50.1,0.46,0.82
naswot,0.548,0.733,92.933,0.293,0.568,0.757,69.976,0.246,0.563,0.749,44.787,0.713,67.4,0.46,0.82
synflow,0.571,0.768,92.774,0.460,0.563,0.758,68.149,2.136,0.554,0.745,39.735,2.477,129.3,0.17,0.45
snip,0.477,0.641,91.477,0.296,0.472,0.633,65.414,0.837,0.423,0.567,34.461,1.936,922.8,0.43,0.76
grasp,0.337,0.484,90.849,0.236,0.332,0.475,64.647,0.469,0.304,0.436,32.385,1.971,1108.2,0.70,1.24
gradsign_rev,-0.082,-0.099,86.468,5.079,-0.075,-0.098,57.480,9.186,-0.044,-0.052,30.119,5.440,4038.5,0.13,0.34
ntk_tenas,0.497,0.687,92.358,0.117,0.495,0.683,67.957,0.352,0.451,0.628,40.339,1.512,0.0,0.00,0.00
lr_tenas,0.159,0.195,85.779,6.212,0.159,0.195,56.711,10.722,0.158,0.194,30.919,6.872,0.0,0.00,0.00
tenas,0.497,0.687,92.358,0.117,0.495,0.683,67.957,0.352,0.451,0.628,40.339,1.512,2504.2,0.95,2.27
aznas,0.738,0.912,93.264,0.360,0.724,0.900,70.124,0.783,0.712,0.888,44.874,0.887,79.0,0.48,0.86
Ground Truth,,,94.246,0.132,,,73.040,0.451,,,46.798,0.207,,,
