Proxy,cifar10_KT,cifar10_SPR,cifar10_ACC,cifar100_KT,cifar100_SPR,cifar100_ACC,ImageNet16120_KT,ImageNet16120_SPR,ImageNet16120_ACC,Avg Runtime (ms),Avg Memory (GB),Max Memory (GB)
expressivity_az,0.594,0.784,0.000,0.594,0.785,0.000,0.537,0.728,0.000,0.0,0.00,0.00
progressivity_az,0.537,0.711,0.000,0.530,0.706,0.000,0.513,0.686,0.000,0.0,0.00,0.00
trainability_az,0.341,0.492,0.000,0.346,0.500,0.000,0.395,0.558,0.000,0.0,0.00,0.00
zico,0.576,0.770,0.000,0.580,0.773,0.000,0.579,0.771,0.000,1057.6,0.46,0.86
zen,0.277,0.359,0.000,0.264,0.334,0.000,0.284,0.382,0.000,28.0,0.19,0.49
grad_norm,0.383,0.520,0.000,0.383,0.515,0.000,0.342,0.465,0.000,0.0,0.00,0.00
naswot,0.549,0.732,0.000,0.573,0.760,0.000,0.568,0.751,0.000,67.1,0.45,0.86
synflow,0.561,0.755,0.000,0.558,0.751,0.000,0.554,0.745,0.000,131.2,0.17,0.46
snip,0.482,0.652,0.000,0.482,0.648,0.000,0.439,0.592,0.000,928.5,0.43,0.75
grasp,0.319,0.458,0.000,0.318,0.453,0.000,0.300,0.432,0.000,1109.6,0.70,1.25
gradsign_rev,-0.122,-0.158,0.000,-0.115,-0.156,0.000,-0.083,-0.112,0.000,4067.9,0.13,0.34
ntk_tenas,0.510,0.698,0.000,0.515,0.703,0.000,0.471,0.651,0.000,0.0,0.00,0.00
lr_tenas,0.165,0.201,0.000,0.165,0.202,0.000,0.164,0.201,0.000,0.0,0.00,0.00
